file_path,line_number,old_icon_class,new_icon_class
error-handling/error-handling-demos/src_hd/error/handling/demo/OrderShipped/OrderShipped.xhtml,29,fa-check,ti-check
error-handling/error-handling-demos/src_hd/error/handling/demo/GlobalError/GlobalError.xhtml,28,fa-check,ti-check
error-handling/error-handling-demos/src_hd/error/handling/demo/approval/RequestForm/RequestForm.xhtml,31,fa-check,ti-check
error-handling/error-handling-demos/src_hd/error/handling/demo/approval/RequestApproved/RequestApproved.xhtml,24,fa-check,ti-check
error-handling/error-handling-demos/src_hd/error/handling/demo/approval/RequestApproval/RequestApproval.xhtml,32,fa-check,ti-check
error-handling/error-handling-demos/src_hd/error/handling/demo/approval/RequestApproval/RequestApproval.xhtml,35,fa-close,ti-x
error-handling/error-handling-demos/src_hd/error/handling/demo/approval/RequestApproval/RequestApproval.xhtml,49,fa-close,ti-x
error-handling/error-handling-demos/src_hd/error/handling/demo/approval/RequestDeclined/RequestDeclined.xhtml,30,fa-check,ti-check
error-handling/error-handling-demos/src_hd/error/handling/demo/misc/CancelStart/CancelStart.xhtml,22,fa-close,ti-x
error-handling/error-handling-demos/src_hd/error/handling/demo/misc/CancelStart/CancelStart.xhtml,23,fa-check,ti-check
error-handling/error-handling-demos/src_hd/error/handling/demo/SelectOptions/SelectOptions.xhtml,28,fa-check,ti-check
html-dialog/html-dialog-demos/processes/Other.p.json,127,fa-spinner,ti-refresh
html-dialog/html-dialog-demos/webContent/view/icons.xhtml,59,fa-house,ti-home
html-dialog/html-dialog-demos/webContent/view/icons.xhtml,60,fa-house,ti-home
html-dialog/html-dialog-demos/webContent/view/icons.xhtml,61,fa-gear,ti-settings
html-dialog/html-dialog-demos/webContent/view/icons.xhtml,62,fa-gear,ti-settings
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,19,fa-table,ti-table
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,21,fa-pen-to-square,ti-edit
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,23,fa-spinner,ti-refresh
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,25,fa-file-excel,ti-file-type-xls
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,27,fa-image,ti-photo
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,29,fa-list-ol,ti-list-numbers
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,31,fa-list-ul,ti-list
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,32,fa-list-alt,ti-list
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,34,fa-check-square,ti-square-check
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,36,fa-clone,ti-copy
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,38,fa-bars,ti-align-justified
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,40,fa-line-chart,ti-chart-histogram
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,41,fa-file-pdf,ti-file-type-pdf
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,42,fa-clock,ti-clock
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,44,fa-barcode,ti-barcode
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,48,fa-id-card,ti-id-badge
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,49,fa-check,ti-check
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,51,fa-upload,ti-upload
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,53,fa-upload,ti-upload
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,55,fa-object-group,ti-chart-treemap
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,57,fa-bars,ti-align-justified
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,59,fa-list-alt,ti-list
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,63,fa-cube,ti-cube
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,65,fa-cubes,ti-packages
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,67,fa-bolt,ti-bolt
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,69,fa-cube,ti-cube
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,71,fa-object-group,ti-chart-treemap
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,73,fa-spinner,ti-refresh
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,77,fa-wifi,ti-wifi
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,81,fa-html5,ti-brand-html5
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,82,fa-spinner,ti-refresh
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,84,fa-code,ti-code
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,86,fa-exclamation-triangle,ti-alert-triangle
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,88,fa-id-card,ti-id-badge
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,90,fa-th,ti-table
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,94,fa-code,ti-code
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,96,fa-font-awesome,ti-flag-2
html-dialog/html-dialog-demos/webContent/layouts/includes/sidebar.xhtml,99,fa-file,ti-file
html-dialog/html-dialog-demos/src_hd/ch/ivyteam/htmldialog/demo/input/EnterMulipleRowsDemo/EnterMulipleRowsDemo.xhtml,56,fa-trash,ti-trash
html-dialog/html-dialog-demos/src_hd/ch/ivyteam/htmldialog/demo/input/EnterMulipleRowsDemo/EnterMulipleRowsDemo.xhtml,65,fa-add,ti-circle-plus
html-dialog/html-dialog-demos/src_hd/ch/ivyteam/htmldialog/demo/output/ExportExcelDemo/ExportExcelDemo.xhtml,28,fa-file-excel,ti-file-type-xls
quick-start-tutorial/quick-start-tutorial/src_hd/quickStartTutorial/EnterProduct/EnterProduct.xhtml,36,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/credit/ApproveLevel2/ApproveLevel2.xhtml,43,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/credit/ApproveLevel2/ApproveLevel2.xhtml,45,fa-remove,ti-x
workflow/workflow-demos/src_hd/workflow/credit/CollectPersonData/CollectPersonData.xhtml,59,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/credit/ApproveLevel1/ApproveLevel1.xhtml,38,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/credit/ApproveLevel1/ApproveLevel1.xhtml,40,fa-remove,ti-x
workflow/workflow-demos/src_hd/workflow/agileBPM/task_Form/add_task.xhtml,46,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/agileBPM/task_Form/add_task.xhtml,49,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/agileBPM/task_Form/case_info.xhtml,103,fa-plus,ti-circle-plus
workflow/workflow-demos/src_hd/workflow/agileBPM/task_Form/case_info.xhtml,167,fa-plus,ti-circle-plus
workflow/workflow-demos/src_hd/workflow/agileBPM/task_Form/case_info.xhtml,188,fa-close,ti-x
workflow/workflow-demos/src_hd/workflow/agileBPM/task_Form/ToDo.xhtml,12,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/agileBPM/task_Form/ToDo.xhtml,17,fa-remove,ti-x
workflow/workflow-demos/src_hd/workflow/agileBPM/task_Form/QA.xhtml,25,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/agileBPM/task_Form/Approval.xhtml,26,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/agileBPM/task_Form/QAResponse.xhtml,18,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/agileBPM/task_Form/QAResponse.xhtml,21,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/agileBPM/task_Form/Adhoc.xhtml,20,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/agileBPM/test/test.xhtml,23,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/agileBPM/define_WF/define_WF.xhtml,73,fa-circle-info,ti-info-circle
workflow/workflow-demos/src_hd/workflow/agileBPM/define_WF/define_WF.xhtml,154,fa-minus,ti-circle-minus
workflow/workflow-demos/src_hd/workflow/agileBPM/define_WF/define_WF.xhtml,187,fa-plus,ti-circle-plus
workflow/workflow-demos/src_hd/workflow/agileBPM/define_WF/define_WF.xhtml,237,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/agileBPM/define_WF/responsableUser.xhtml,33,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/agileBPM/define_WF/taskDescription.xhtml,13,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/businessdata/CreateAddress/CreateAddress.xhtml,28,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/businessdata/BusinessDataDossierModifier/BusinessDataDossierModifier.xhtml,40,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/businessdata/ViewAddress/ViewAddress.xhtml,28,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/businessdata/ModifyAddress/ModifyAddress.xhtml,27,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/businessdata/BusinessDataDossierBrowser/BusinessDataDossierBrowser.xhtml,60,fa-search,ti-search
workflow/workflow-demos/src_hd/workflow/businessdata/BusinessDataDossierBrowser/BusinessDataDossierBrowser.xhtml,63,fa-circle-question,ti-help-circle
workflow/workflow-demos/src_hd/workflow/businessdata/BusinessDataDossierLazyBrowser/BusinessDataDossierLazyBrowser.xhtml,22,fa-search,ti-search
workflow/workflow-demos/src_hd/workflow/businessdata/ModifyCountry/ModifyCountry.xhtml,28,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/trigger/CreateNewEmployee/CreateNewEmployee.xhtml,35,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/trigger/ReserveParkingLot/ReserveParkingLot.xhtml,30,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/signal/QuitSignalSent/QuitSignalSent.xhtml,19,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/signal/QuitUser/QuitUser.xhtml,27,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/signal/TaskForm/TaskForm.xhtml,34,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/signal/CreateUser/CreateUser.xhtml,32,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/businesscasedata/InterviewForm/InterviewForm.xhtml,54,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/businesscasedata/InterviewForm/InterviewForm.xhtml,58,fa-save,ti-device-floppy
workflow/workflow-demos/src_hd/workflow/businesscasedata/InterviewLazyBrowser/InterviewLazyBrowser.xhtml,18,fa-search,ti-search
workflow/workflow-demos/src_hd/workflow/humantask/AcceptRequest/AcceptRequest.xhtml,24,fa-remove,ti-x
workflow/workflow-demos/src_hd/workflow/humantask/AcceptRequest/AcceptRequest.xhtml,26,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/humantask/EnterRequest/EnterRequest.xhtml,44,fa-check,ti-check
workflow/workflow-demos/src_hd/workflow/humantask/VerifyRequest/VerifyRequest.xhtml,24,fa-remove,ti-x
workflow/workflow-demos/src_hd/workflow/humantask/VerifyRequest/VerifyRequest.xhtml,26,fa-check,ti-check
